,Qtotal
0,1.9629363906523516
1,17.156830180921993
2,100.48134457174929
3,169.00091450091355
4,142.83731623718
5,74.4671433289979
6,29.25594216199928
7,15.525712366992117
8,4.24037145435026
9,17.655702748640678
10,1.969705281000032
11,1.8432860866488392
12,102.88462298256184
13,38.32752461954614
14,19.30660672276692
15,11.801741425487627
16,33.771933339135636
17,22.466270393873504
18,1.837043501503487
19,11.87358399975376
20,6.769511323845228
21,11.82135537918879
22,1.6256613367451458
23,16.864699108952884
24,82.75529249754545
25,1.6320866174553335
26,1.6200808409130152
27,1.6081633573848861
28,6.665777993121306
29,1.5845907758437188
30,11.71182326804316
31,11.700252592431779
32,16.758211508366877
33,1.5384771223029214
34,1.5271599295633114
35,16.72425931889012
36,6.5742191279663444
37,1.49370542116059
38,6.552162019563705
39,16.68014388526172
40,6.530428232414632
41,11.58912553639093
42,1.439568550055177
43,1.428978944916933
44,26.765689456863214
45,31.8246995181412
46,6.466752579542689
47,1.3723658047487357
48,77.41626353322388
49,1.353166196346107
50,1.3570010576842615
51,1.347018818678092
52,16.54544335559469
53,21.60505188553678
54,1.3175105439189925
55,1.3078188288833539
56,1.2981983882149615
57,1.2886487022995763
58,21.556947058609186
59,11.408648475215532
60,1.230317350812731
61,1.2511473490204004
62,31.658610442125006
63,16.441141251589276
64,1.2237392584858968
65,1.2147373063368307
66,51.90024604553101
67,6.235608729030184
68,11.327015740278169
69,11.318275766678621
70,1.170711190787435
71,1.162099321795916
72,1.1535508056756614
73,11.283954069597662
74,1.1366419630876807
75,1.128280723348498
76,1.1199809844017699
77,1.1117422724800803
78,1.1035641935719478
79,1.0954462804809004
80,1.0873880692597313
81,50.65205170354458
82,-0.2478889966168203
83,0.2866807421103107
84,1.0557436627009182
85,122.65815184044907
86,5.889271452586789
87,0.9523677008845571
88,1.0136566329829155
89,1.017479984256597
90,26.020007259273257
91,20.350743086914374
92,34.83718470040985
93,40.25957094446522
94,-1.2257392945372854
95,0.9448906067956746
96,6.035673811171275
97,16.08142649420646
98,0.6409155697786266
99,0.9450627929412576
100,40.54365720110549
101,16.00545426259007
102,0.6287569167046461
103,0.20127626592212333
104,0.13352694816261557
105,5.421690104186173
106,18.082355997039663
107,181.417233045944
108,581.5182602643994
109,648.3835491522394
110,499.72578322091783
111,350.08493372037975
112,270.620435507365
113,199.1102674159885
114,198.59003907162088
115,232.3285108344353
116,252.5484660648108
117,236.16023811527677
118,185.56009531504253
119,205.81035207050297
120,306.6943398080007
121,363.4247153687138
122,330.69798930377266
123,349.4753452860408
124,517.9284030642362
125,719.3241343996576
126,609.7162264276542
127,389.7450615215555
128,373.4260264313627
129,381.07966187473744
130,288.1830048527207
131,264.1885576216119
132,158.92907366426832
133,126.19873087757979
134,65.84411292580609
135,30.437879490294247
136,10.489179712955892
137,2.7037771660992997
138,0.3957304742906027
139,-0.27819517878786026
140,-1.2989298946296883
141,-1.1198489113408252
142,-3.767481902278722
143,-3.5285536725501365
144,-4.165479908904129
145,-4.370132767574784
146,362.7484126653015
147,298.8784196804969
148,178.2352648955026
149,65.97641226211105
150,129.6553097737313
151,93.99147175201655
152,53.926986631845686
